"hrgcode","hrg","trim.el","trim.nel","nelshortst","perc.nelshortst","tariff.op","tariff.dcel","tariff.dc","tariff.el","tariff.nel","tariff.overtrim","tariff.nelshortst"
"AA02B","Intracranial Procedures for Trauma with Diagnosis of Intracranial Injury without CC",15,21,"No","-",0,4733,0,0,4945,200,0
"AA03A","Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture, with CC",26,28,"No","-",0,7518,0,0,5688,200,0
"AA03B","Intracranial Procedures for Trauma with Diagnosis of Head Injury or Skull Fracture, without CC",10,16,"No","-",0,4662,0,0,4421,200,0
"AA04A","Major Intracranial Procedures Except Trauma with Non-Transient Stroke or Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC",50,87,"No","-",0,9556,0,0,12846,200,0
"AA04B","Major Intracranial Procedures Except Trauma with Non-Transient Stroke or Cerebrovascular Accident, Nervous System Infections or Encephalopathy, without CC",13,61,"No","-",0,4375,0,0,9575,200,0
"AA05A","Major Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders with CC",20,62,"No","-",0,5915,0,0,11536,200,0
"AA05B","Major Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders without CC",5,34,"No","-",0,3831,0,0,8269,200,0
"AA06A","Major Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts, with CC",18,42,"No","-",0,7071,0,0,10215,200,0
"AA06B","Major Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts, without CC",14,24,"No","-",0,4502,0,0,7975,200,0
"AA07A","Major Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, with CC",15,34,"No","-",0,6751,0,0,8176,200,0
"AA07B","Major Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System, without CC",10,22,"No","-",0,4269,0,0,6104,200,0
"AA08A","Major Intracranial Procedures Except Trauma with Muscular, Balance, Cranial or Peripheral Nerve Disorders or Epilepsy, with CC",12,12,"No","-",0,6356,0,0,6356,200,0
"AA08B","Major Intracranial Procedures Except Trauma with Muscular, Balance, Cranial or Peripheral Nerve Disorders or Epilepsy, without CC",9,12,"No","-",0,5063,0,0,6356,200,0
"AA09A","Major Intracranial Procedures Except Trauma with Other Diagnoses with CC",8,54,"No","-",0,2384,0,0,9222,200,0
"AA09B","Major Intracranial Procedures Except Trauma with Other Diagnoses without CC",5,34,"No","-",0,652,0,0,6640,200,0
"AA10A","Intermediate Intracranial Procedures Except Trauma with Non-Transient Stroke or Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC",32,86,"No","-",0,6601,0,0,12865,200,0
"AA10B","Intermediate Intracranial Procedures Except Trauma with Non-Transient Stroke or Cerebrovascular Accident, Nervous System Infections or Encephalopathy, without CC",19,34,"No","-",0,4363,0,0,5943,200,0
"AA11A","Intermediate Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders with CC",47,79,"No","-",0,9315,0,0,11671,200,0
"AA11B","Intermediate Intracranial Procedures Except Trauma with Haemorrhagic Cerebrovascular Disorders without CC",188,53,"No","-",0,2686,0,0,8036,200,0
"AA12A","Intermediate Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts, with CC",13,30,"No","-",0,5901,0,0,7853,200,0
"AA12B","Intermediate Intracranial Procedures Except Trauma with Brain Tumours or Cerebral Cysts, without CC",11,20,"No","-",0,5493,0,0,7020,200,0
"AA13A","Intermediate Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System with CC",13,35,"No","-",0,4888,0,0,6807,200,0
"AA13B","Intermediate Intracranial Procedures Except Trauma with Cerebral Degenerations or Miscellaneous Disorders of Nervous System without CC",10,21,"No","-",0,4409,0,0,5120,200,0
"AA14A","Intermediate Intracranial Procedures Except Trauma with Muscular, Balance, Cranial or Peripheral Nerve Disorders or Epilepsy, with CC",5,33,"No","-",0,2712,0,0,4169,200,0
"AA14B","Intermediate Intracranial Procedures Except Trauma with Muscular, Balance, Cranial or Peripheral Nerve Disorders or Epilepsy, without CC",5,33,"No","-",0,2712,0,0,4169,200,0
"AA15A","Intermediate Intracranial Procedures Except Trauma with Other Diagnoses with CC",16,56,"No","-",0,4784,0,0,8865,200,0
"AA15B","Intermediate Intracranial Procedures Except Trauma with Other Diagnoses without CC",11,40,"No","-",0,3720,0,0,6874,200,0
"AA16A","Minor Intracranial Procedures Except Trauma with Non-Transient Stroke or Cerebrovascular Accident, Nervous System Infections or Encephalopathy, with CC",24,54,"No","-",0,6226,0,0,7626,200,0
